ID Estacion,Autoridad Ambiental,Estación,Latitud,Longitud,Variable,Unidades,Tiempo de exposición (horas),Año,Promedio,Suma,No. de datos,Representatividad Temporal,Excedencias limite actual,Porcentaje excedencias limite actual,Mediana,Percentil 98,Máximo,Fechas/horas del máximo,Mínimo,Fechas/horas del mínimo,Días de excedencias,Nombre del Departamento,Nombre del Municipio,Tipo de Estación
29511.0,AMVA,I.E. CONCEJO MUNICIPAL,6.168497,-75.644356,DViento,deg,1,2020,95.0,1660281.0,8725,99.0,0,0.0,190.0,350.0,359.0,2020-02-25 09:00:00.000000000,0.0,2020-01-14 01:00:00.000000000,0,ANTIOQUIA,ITAGÜÍ,Fija
29511.0,AMVA,I.E. CONCEJO MUNICIPAL,6.168497,-75.644356,DViento,deg,24,2020,246.3,73194.11,363,99.0,0,0.0,196.4,347.8,357.0,2020-01-06 12:00:00.000000000,5.6,2020-02-18 12:00:00.000000000,0,ANTIOQUIA,ITAGÜÍ,Fija
29511.0,AMVA,I.E. CONCEJO MUNICIPAL,6.168497,-75.644356,HAire10,perc,1,2020,80.1,698889.0472,8728,99.0,0,0.0,83.9,99.5,100.0,2020-07-27 06:00:00.000000000,23.8,2020-02-05 04:00:00.000000000,0,ANTIOQUIA,ITAGÜÍ,Fija
29511.0,AMVA,I.E. CONCEJO MUNICIPAL,6.168497,-75.644356,HAire10,perc,24,2020,80.1,29059.22,363,99.0,0,0.0,82.2,92.4,94.2,2020-11-11 12:00:00.000000000,57.2,2020-02-18 12:00:00.000000000,0,ANTIOQUIA,ITAGÜÍ,Fija
29511.0,AMVA,I.E. CONCEJO MUNICIPAL,6.168497,-75.644356,PLiquida,mm,1,2020,0.1,526.32,8759,100.0,0,0.0,0.0,0.8,3.8,2020-07-01 07:00:00.000000000,0.0,2020-01-05 01:00:00.000000000,0,ANTIOQUIA,ITAGÜÍ,Fija
29511.0,AMVA,I.E. CONCEJO MUNICIPAL,6.168497,-75.644356,PLiquida,mm,24,2020,1.4,526.32,365,100.0,0,0.0,0.8,6.3,11.8,2020-07-01 12:00:00.000000000,0.0,2020-01-03 12:00:00.000000000,0,ANTIOQUIA,ITAGÜÍ,Fija
29511.0,AMVA,I.E. CONCEJO MUNICIPAL,6.168497,-75.644356,P,mmHg,1,2020,617.3,5389921.77,8732,99.0,0,0.0,617.4,619.4,620.6,2020-01-05 09:00:00.000000000,613.4,2020-08-13 04:00:00.000000000,0,ANTIOQUIA,ITAGÜÍ,Fija
29511.0,AMVA,I.E. CONCEJO MUNICIPAL,6.168497,-75.644356,P,mmHg,24,2020,617.3,224066.14,363,99.0,0,0.0,617.3,618.6,618.9,2020-01-05 12:00:00.000000000,615.1,2020-02-17 12:00:00.000000000,0,ANTIOQUIA,ITAGÜÍ,Fija
29511.0,AMVA,I.E. CONCEJO MUNICIPAL,6.168497,-75.644356,TAire10,Celsius,1,2020,20.0,174842.6951,8732,99.0,0,0.0,19.4,27.0,29.2,2020-02-19 03:00:00.000000000,13.7,2020-01-23 07:00:00.000000000,0,ANTIOQUIA,ITAGÜÍ,Fija
29511.0,AMVA,I.E. CONCEJO MUNICIPAL,6.168497,-75.644356,TAire10,Celsius,24,2020,20.0,7270.3,363,99.0,0,0.0,20.0,22.5,23.4,2020-05-09 12:00:00.000000000,17.0,2020-06-03 12:00:00.000000000,0,ANTIOQUIA,ITAGÜÍ,Fija
29511.0,AMVA,I.E. CONCEJO MUNICIPAL,6.168497,-75.644356,VViento,ms,1,2020,1.1,9854.86,8725,99.0,0,0.0,0.9,3.4,7.3,2020-09-02 06:00:00.000000000,0.0,2020-03-10 10:00:00.000000000,0,ANTIOQUIA,ITAGÜÍ,Fija
29511.0,AMVA,I.E. CONCEJO MUNICIPAL,6.168497,-75.644356,VViento,ms,24,2020,1.1,410.05,363,99.0,0,0.0,1.1,1.6,1.9,2020-01-31 12:00:00.000000000,0.6,2020-05-30 12:00:00.000000000,0,ANTIOQUIA,ITAGÜÍ,Fija
31628.0,AMVA,I.E. RAFAEL J. MEJÍA,6.145435,-75.621557,DViento,deg,1,2020,167.0,1387822.0,8705,99.0,0,0.0,163.0,336.9,359.0,2020-01-10 01:00:00.000000000,0.0,2020-01-13 12:00:00.000000000,0,ANTIOQUIA,SABANETA,Fija
31628.0,AMVA,I.E. RAFAEL J. MEJÍA,6.145435,-75.621557,DViento,deg,24,2020,157.8,53713.64,363,99.0,0,0.0,151.0,190.2,198.6,2020-10-31 12:00:00.000000000,52.5,2020-03-06 12:00:00.000000000,0,ANTIOQUIA,SABANETA,Fija
